rc_file name: a/s-alpha-zero-fixedgbs-pknob-4.75/jr_s-alpha-zero_phase.json
max schd: 0.005297, max dp: 0.000519, max job: 29
Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,3537409,3537409,1.0001,0.95856,1.0001,0.967473,1,1,1,1,1,4,6.4787,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,66,3537040,0.26
Job2,363000,363000,5679864,5679864,1.00027,0.881808,1.00027,0.892197,1,1,1,1,1,4,8.59877,0,1,1,0,0,0,0,0,ResNeXt,4,8,91,5678328,0.253
Job3,489000,489000,2835952,2835952,1,0.954419,1,0.977446,1,1,1,1,1,4,7.11516,0,1,1,0,0,0,0,0,VGG19,4,8,50,2835952,0.258
Job4,1049000,1049000,1217776,1217776,1,1,1,1.06099,1,1,1,1,1,4,6.51514,0,1,1,0,0,0,0,0,VGG19,4,8,11,1217776,0.258
Job5,1221000,1221000,2784500,2784500,1.00002,0.938922,1.00002,0.950135,1,1,1,1,1,1,8.82865,0,1,1,0,0,0,0,0,BERTLARGE,1,128,47,2784440,1
Job6,1353000,1353000,4604656,4604656,1,0.864855,1,0.876378,1,1,1,1,1,4,9.67225,0,1,1,0,0,0,0,0,VGG19,4,8,80,4604656,0.258
Job7,1625000,1625000,2269252,2269252,1.00029,0.931699,1.00029,0.959268,1,1,1,1,1,1,9.33299,0,1,1,0,0,0,0,0,VGG19,1,32,38,2268592,1
Job8,1850000,1850000,2158576,2158576,1,0.923907,1,0.952444,1,1,1,1,1,4,9.61007,0,1,1,0,0,0,0,0,VGG19,4,8,30,2158576,0.258
Job9,2222000,2222000,4030768,4030768,1,0.825321,0.964997,0.837323,1,1,1,1,1,4,10.3691,0,1,1,0,0,0,0,0,VGG19,4,8,74,4030768,0.258
Job10,2421000,2421000,2768368,2768368,1.0001,0.90781,1.0001,0.918045,1,1,1,1,1,4,9.87625,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,46,2768080,0.26
Job11,2453000,2453000,11094799,11094799,1.01061,1.56279,0.438596,1.58967,1.03737,0.995193,0.975966,11,2.97476,6.38375,15.0711,0,11,1,0,1,1,0,0,ResNet50,16,8,76,4296232,0.066
Job12,3002000,3002000,3628664,3628664,1.00067,0.78809,1.00067,0.801139,1,1,1,1,1,1,10.8396,0,1,1,0,0,0,0,0,ResNeXt,1,32,68,3626232,1
Job13,3696000,3703974,4147284,4139310,1.00202,0.681501,1.00202,0.685444,0.998077,1,1,1,1,2,12.545,0,1,1.00193,0,0,0,0,0,BERTLARGE,2,64,75,4138936,0.5
Job14,3768000,3768000,5056240,5056240,0.98274,0.656478,0.756957,0.662499,1.01781,1,1,1,1,4,13.2559,0,1,1,0,0,0,0,0,VGG19,4,8,84,5056240,0.258
Job15,4286000,4286274,3536009,3535735,1.00017,0.650456,1.00017,0.654671,0.999923,1,1,1,1,2,13.0649,0,1,1.00008,0,0,0,0,0,BERTLARGE,2,64,65,3535416,0.5
Job16,4653000,4653000,5355776,5355776,1.00015,0.609401,1.00015,0.613942,1,1,1,1,1,1,14.6688,0,1,1,0,0,0,0,0,ResNet50,1,128,87,5354984,1
Job17,4868000,4868000,15495418,15495418,0.927921,1.10009,0.546876,1.10598,1.09866,0.784304,0.609944,13,2.16102,4.00029,18.6749,0,13,1,0,161,161,0,0,ResNeXt,8,4,100,7641144,0.13
Job18,5187000,5188874,6762879,6761005,1.10741,2.08636,0.608513,2.16657,0.869937,1,1,3,3.95871,4.08257,15.6558,0,3,1.00028,0,0,0,0,0,ResNet50,16,8,24,1875544,0.066
Job19,5397000,5397000,4322308,4322308,1.00019,0.59313,1.00019,0.603061,1,1,1,1,1,1,15.2432,0,1,1,0,0,0,0,0,GNMT,1,64,77,4321472,1
Job20,5593000,5593000,1868000,1868000,1.00002,0.59994,1.00002,0.606761,1,1,1,1,1,1,14.0091,0,1,1,0,0,0,0,0,BERTLARGE,1,128,23,1867960,1
Job21,6143000,6206235,2198235,2135000,0.98883,0.583848,0.669391,0.589326,1.01196,1,1,1,1,4,15.4711,0,1,1.02962,0,0,0,0,0,BERTLARGE,4,32,29,2135000,0.264
Job22,6256000,6256000,5376112,5376112,0.96077,0.557834,0.620032,0.561916,1.04137,1,1,1,1,4,16.209,0,1,1,0,0,0,0,0,VGG19,4,8,88,5376112,0.258
Job23,6362000,6363826,2859180,2857354,1.00079,0.577132,1.00079,0.584804,0.999361,1,1,1,1,1,15.9507,0,1,1.00064,0,0,0,0,0,ResNet50,1,128,51,2856936,1
Job24,6509000,6525268,1895939,1879671,1.30281,0.77567,0.875189,0.815717,0.852456,1,1,3,1.36058,3.27883,16.0753,0,3,1.00865,0,0,0,0,0,GNMT,4,16,17,1392960,0.259
Job25,6600000,6600000,7816134,7807964,1.13504,1.26533,0.681528,1.28088,0.863714,0.700645,0.40129,5,2.80258,3.19742,18.0934,0,5,1.00105,0,73,73,0,0,ResNeXt,8,4,61,3223544,0.13
Job26,6785000,6787998,1183623,1180625,1.00256,0.546747,1.00256,0.555732,0.997467,1,1,1,1,1,16.5959,0,1,1.00254,0,0,0,0,0,BERTLARGE,1,128,8,1180600,1
Job27,7111000,7111000,4601792,4601792,1.0003,0.551727,1.0003,0.556397,1,1,1,1,1,1,16.6567,0,1,1,0,0,0,0,0,VGG19,1,32,79,4600432,1
Job28,7163000,7182797,3465015,3445218,1.00589,0.57515,1.00589,0.581423,0.994287,1,1,1,1,1,16.4813,0,1,1.00575,0,0,0,0,0,ResNet50,1,128,63,3444712,1
Job29,7375000,7375000,6488253,6488253,1.00068,0.519068,1.00068,0.522202,1,1,1,1,1,1,18.1656,0,1,1,0,0,0,0,0,ResNeXt,1,32,98,6483864,1
Job30,7557000,7557000,2269490,2269490,1.00015,0.583667,1.00015,0.59359,1,1,1,1,1,1,16.5333,0,1,1,0,0,0,0,0,ResNet50,1,128,39,2269160,1
Job31,7995000,7995000,2212751,2212751,1.00066,0.592835,1.00066,0.604992,1,1,1,1,1,1,16.3069,0,1,1,0,0,0,0,0,ResNeXt,1,32,32,2211288,1
Job32,8362000,8404939,5163563,5120624,1.00907,0.520496,1.00907,0.522286,0.991684,1,1,1,1,1,18.1707,0,1,1.00839,0,0,0,0,0,GPT2_SMALL,1,256,85,5117136,1
Job33,8399000,8404939,3086656,3080717,1.00212,0.567172,1.00212,0.57996,0.998076,1,1,1,1,1,16.4801,0,1,1.00193,0,0,0,0,0,GNMT,1,64,58,3080128,1
Job34,8761000,8761000,3934057,3934057,1.00067,0.533367,1.00067,0.538846,1,1,1,1,1,1,17.5242,0,1,1,0,0,0,0,0,ResNeXt,1,32,72,3931416,1
Job35,9127000,9127000,5901350,5901350,1.0003,0.503053,1.0003,0.506072,1,1,1,1,1,1,19.1488,0,1,1,0,0,0,0,0,VGG19,1,32,94,5899600,1
Job36,9251000,9254188,5731875,5728687,1.03859,1.28735,0.67706,1.29873,0.9583,0.970675,0.941349,7,2.92719,3.07281,19.1938,0,7,1.00056,0,2,2,0,0,GPT2_SMALL,8,32,33,2234200,0.139
Job37,9752000,9752000,1213283,1213283,1.00064,0.564531,1.00064,0.584944,1,1,1,1,1,1,16.1,0,1,1,0,0,0,0,0,ResNeXt,1,32,10,1212504,1
Job38,10015000,10015000,1681626,1681626,1.00014,0.525193,1.00014,0.536076,1,1,1,1,1,1,16.7764,0,1,1,0,0,0,0,0,ResNet50,1,128,21,1681384,1
Job39,10312000,10319390,6439615,6410130,1.11132,0.848759,0.823994,0.862399,0.963442,0.958099,0.916198,7,1.75518,2.48964,21.0874,0,7,1.0046,1,3,3,0,0,GNMT,4,16,71,3769152,0.259
Job40,10540000,10540000,5552998,5552998,1.1866,0.898865,0.898613,0.91667,0.862785,0.924441,0.886662,5,1.88666,2.22668,20.5969,0,5,1,0,2,2,0,0,GNMT,4,16,57,3061952,0.259
Job41,10896000,10914143,8796098,8777955,1.02442,0.788456,0.722625,0.797029,0.992602,0.593041,0.194863,6,1.67066,2.65867,21.3031,0,6,1.00207,0,41,41,0,0,GNMT,4,16,93,5777600,0.259
Job42,11158000,11174956,5319714,5302758,1.18993,0.964959,0.926417,0.978268,0.836417,1,1,1,2,2,21.6368,0,1,1.0032,0,0,0,0,0,ResNeXt,4,8,44,2694264,0.253
Job43,11233000,11233000,1305656,1305656,1.00067,0.491572,1.00067,0.497947,1,1,1,1,1,1,19.2137,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,14,1304784,1
Job44,11337000,11351692,1672183,1657491,1.00952,0.49291,1.00952,0.504054,0.991214,1,1,1,1,1,20.1114,0,1,1.00886,0,0,0,0,0,ResNeXt,1,32,20,1656408,1
Job45,11555000,11555000,6237572,6237572,1.00015,0.495993,1.00015,0.49857,1,1,1,1,1,1,22.6312,0,1,1,0,0,0,0,0,ResNet50,1,128,97,6236648,1
Job46,11672000,11696626,5183294,5158668,1.11714,0.947493,0.876772,0.953594,0.867978,0.5,0,1,2,2,22.2606,0,1,1.00477,0,11,11,0,0,BERTLARGE,4,32,43,2675000,0.264
Job47,11714000,11714000,6127334,6127334,1.00068,0.497603,1.00068,0.500652,1,1,1,1,1,1,22.7417,0,1,1,0,0,0,0,0,ResNeXt,1,32,96,6123192,1
Job48,11838000,11838000,3252580,3252580,1.09791,0.899837,0.893265,0.917607,0.854038,1,1,1,2,2,21.0886,0,1,1,0,0,0,0,0,VGG19,4,8,22,1763440,0.258
Job49,11981000,11994828,2620668,2606840,1.12484,0.919001,0.91778,0.940437,0.86493,1,1,1,2,2,21.4264,0,1,1.0053,0,0,0,0,0,ResNet50,4,32,16,1367336,0.255
Job50,12163000,12171410,4334730,4326320,1.08107,0.941986,0.874829,0.955482,0.901609,1,1,1,2,2,22.3968,0,1,1.00194,0,0,0,0,0,ResNet50,4,32,34,2248328,0.255
Job51,12355000,12368595,5461315,5447720,1.09776,0.966345,0.845949,0.977589,0.887948,1,1,1,2,2,23.173,0,1,1.0025,0,0,0,0,0,ResNet50,4,32,49,2822888,0.255
Job52,12432000,12437277,1412901,1407624,1.0044,0.460405,1.0044,0.471938,0.996265,1,1,1,1,1,22.2174,0,1,1.00375,0,0,0,0,0,ResNeXt,1,32,18,1406712,1
Job53,12539000,12539000,3989583,3989583,1.00067,0.48617,1.00067,0.490655,1,1,1,1,1,1,22.5777,0,1,1,0,0,0,0,0,ResNeXt,1,32,73,3986904,1
Job54,12655000,12655156,7628521,7624218,1.0172,0.796549,0.71264,0.802836,0.994234,0.839163,0.678325,2,1.67833,2.64335,21.5519,0,2,1.00056,0,51,51,0,0,ResNeXt,4,8,83,5007096,0.253
Job55,12985000,12988865,5112728,5108863,1.04192,1.81423,0.789695,1.86383,0.922052,0.491299,0,2,3.89558,2.10442,23.2282,0,2,1.00076,0,84,84,0,0,ResNeXt,8,4,19,1452488,0.13
Job56,13347000,13350922,2214473,2210551,1.00152,0.507079,0.972025,0.511058,0.998502,1,1,1,1,2,20.622,0,1,1.00177,0,0,0,0,0,GPT2_SMALL,2,128,31,2210512,0.5
Job57,13505000,13505000,4925967,4925967,1.06442,0.934111,0.783043,0.955863,0.902221,0.497601,0.0440815,3,1.9904,2.15144,22.9623,0,3,1,0,27,27,0,0,GNMT,4,16,48,2807360,0.259
Job58,13823000,13825293,5307168,5304875,1.00045,0.541223,1.00045,0.543162,0.999568,1,1,1,1,1,22.3354,0,1,1.00043,0,0,0,0,0,BERTLARGE,1,128,86,5304760,1
Job59,14481000,14563628,2877487,2794859,1.11253,0.596441,0.955105,0.604586,0.932299,1,1,3,1.12507,1.87493,23.9402,0,3,1.02956,0,0,0,0,0,ResNet50,2,64,42,2527592,0.5
Job60,14944000,14982875,10486748,10447873,0.884492,1.10695,0.605864,1.11153,1.11284,0.56801,0.119738,7,2.69452,3.55704,18.3564,0,7,1.00372,0,22,22,0,0,GPT2_SMALL,8,32,81,4743000,0.139
Job61,15304000,15321951,10832541,10798011,0.87293,1.0134,0.574819,1.02587,1.07427,0.592643,0.212988,5,2.69585,3.74927,17.5238,0,5,1.0032,0,45,45,0,0,GNMT,8,8,89,5469928,0.142
Job62,15452000,15465928,1955412,1941484,1.00785,0.512613,1.00785,0.517224,0.992877,1,1,1,1,1,26.1675,0,1,1.00717,0,0,0,0,0,GPT2_SMALL,1,256,25,1940176,1
Job63,15555000,15555000,3739150,3739150,1.00015,0.554461,1.00015,0.559857,1,1,1,1,1,1,23.1521,0,1,1,0,0,0,0,0,ResNet50,1,128,70,3738600,1
Job64,15555000,15566768,3418328,3406560,1.00413,0.552882,1.00413,0.559671,0.996557,1,1,1,1,1,23.6768,0,1,1.00345,0,0,0,0,0,ResNeXt,1,32,62,3404280,1
Job65,15557000,15566768,3710768,3701000,1.00266,0.554066,1.00266,0.556976,0.997368,1,1,1,1,1,23.1965,0,1,1.00264,0,0,0,0,0,BERTLARGE,1,128,69,3700920,1
Job66,15557000,15561473,2703162,2698689,1.00185,0.536482,1.00185,0.54957,0.998345,1,1,1,1,1,25.2075,0,1,1.00166,0,0,0,0,0,GNMT,1,64,45,2698176,1
Job67,15557000,15561473,2040471,2035998,1.00249,0.516099,1.00249,0.525401,0.997808,1,1,1,1,1,26.366,0,1,1.0022,0,0,0,0,0,VGG19,1,32,26,2035408,1
Job68,15586000,15593105,3109662,3092360,1.50726,1.27871,0.996045,1.34508,0.790151,0.898413,0.796826,6,2.32301,2.03586,24.1189,0,6,1.0056,0,2,2,0,0,GNMT,4,16,15,1364672,0.259
Job69,15795000,15868140,4400154,4327014,1.01705,0.560711,1.01705,0.565394,0.983378,1,1,1,1,1,21.8675,0,1,1.0169,0,0,0,0,0,ResNet50,1,128,78,4326376,1
Job70,15795000,15814519,3232659,3213140,1.00676,0.55857,1.00676,0.561871,0.993962,1,1,1,1,1,23.4926,0,1,1.00607,0,0,0,0,0,GPT2_SMALL,1,256,60,3210960,1
Job71,15796000,15818233,2291485,2269252,1.01009,0.53332,1.01009,0.542153,0.990298,1,1,1,1,1,25.7739,0,1,1.0098,0,0,0,0,0,VGG19,1,32,37,2268592,1
Job72,15796000,15823620,2124745,2097125,1.01319,0.526553,1.01319,0.53116,0.987001,1,1,1,1,1,26.1485,0,1,1.01317,0,0,0,0,0,BERTLARGE,1,128,28,2097080,1
Job73,16670000,16670000,3531054,3531054,1.00068,0.570402,1.00068,0.573552,1,1,1,1,1,1,20.3992,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,64,3528656,1
Job74,16763000,16855294,1333022,1240728,1.07454,0.60644,1.07454,0.62492,0.930763,1,1,1,1,1,24.4269,0,1,1.07439,0,0,0,0,0,ResNet50,1,128,12,1240552,1
Job75,17119000,17130641,6918308,6906392,0.957305,1.14984,0.652474,1.17524,1.03986,0.632736,0.279857,8,2.55971,3.44029,17.8731,0,8,1.00173,0,21,21,0,0,GNMT,8,8,56,3059872,0.142
Job76,17424000,17424000,2985210,2985210,1.00019,0.580611,1.00019,0.594486,1,1,1,1,1,1,18.74,0,1,1,0,0,0,0,0,GNMT,1,64,54,2984640,1
Job77,17655000,17655000,5945927,5945927,1.00019,0.512094,1.00019,0.517441,1,1,1,1,1,1,17.2018,0,1,1,0,0,0,0,0,GNMT,1,64,95,5944768,1
Job78,18284000,18293707,9789070,9777402,1.01579,0.956389,0.6944,0.968692,0.976927,0.585919,0.237902,7,2.20623,4.6025,12.4886,0,7,1.00119,0,28,28,0,0,GNMT,8,8,92,5721960,0.142
Job79,18684000,18722000,5675298,5637298,1.00729,0.482655,1.00729,0.487632,0.993304,1,1,1,1,2,16.6546,0,1,1.00674,0,0,0,0,0,GNMT,2,32,90,5634208,0.5
Job80,18722000,18722000,2940202,2940202,1.00095,0.549514,1.00095,0.557326,1,0.5,0,1,1,2,16.474,0,1,1,0,33,33,0,0,ResNeXt,2,16,53,2937416,0.5
Job81,18756000,18762474,2049598,2043124,1.00319,0.554261,1.00319,0.559405,0.996841,0.5,0,1,1,2,16.8102,0,1,1.00317,0,4,4,0,0,GPT2_SMALL,2,128,27,2043088,0.5
Job82,19066000,19066000,2259398,2259398,1.00068,0.539164,1.00068,0.543574,1,1,1,1,1,1,16.3024,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,35,2257872,1
Job83,19206000,19211156,12442392,12420541,0.986484,1.0655,0.484556,1.07657,0.984459,0.690003,0.0963145,6,3.30949,9.15854,8.81166,0,6,1.00176,0,20,20,0,0,ResNet50,16,8,99,7371160,0.066
Job84,19368000,19368000,2857354,2857354,1.00015,0.518131,1.00015,0.524311,1,1,1,1,1,1,16.1132,0,1,1,0,0,0,0,0,ResNet50,1,128,52,2856936,1
Job85,19550000,19551492,2456476,2454984,1.00143,0.529071,1.00143,0.536583,0.999393,0.5,0,1,1,2,15.9716,0,1,1.00061,0,6,6,0,0,ResNet50,2,64,41,2452968,0.5
Job86,19960000,19975858,2371820,2355962,0.94044,1.05506,0.666787,1.07515,1.01745,0.582706,0.165413,2,2.33083,3.66917,15.8269,0,2,1.00673,0,3,3,0,0,BERTLARGE,8,16,7,1152480,0.142
Job87,20423000,20491816,5035156,4859589,1.34502,0.737406,1.06959,0.745044,0.856235,0.738807,0.504989,11,1.50499,2.99002,14.9829,0,11,1.03613,0,43,43,0,0,VGG19,4,8,59,3165232,0.258
Job88,20619000,20628001,1982873,1973872,1.55595,0.903508,1.15214,0.955768,0.630304,0.5,0,2,1.88285,2.23431,15.7216,0,2,1.00456,0,2,2,0,0,GNMT,4,16,6,1138368,0.259
Job89,20717000,20717000,3558252,3558252,1.00019,0.447824,1.00019,0.454691,1,1,1,1,1,1,16.5916,0,1,1,0,0,0,0,0,GNMT,1,64,67,3557568,1
Job90,20984000,20986318,3004654,3002336,1.00107,0.441533,1.00107,0.446122,0.999229,1,1,1,1,1,16.8231,0,1,1.00077,0,0,0,0,0,VGG19,1,32,55,3001456,1
Job91,21482000,21484854,3170702,3164190,1.02202,1.10785,0.810976,1.14589,0.820623,0.654181,0.372143,4,3.45378,2.54622,16.386,0,4,1.00206,1,16,16,0,0,VGG19,8,4,13,1259020,0.136
Job92,21760000,21767531,2277021,2269490,1.00346,0.419865,1.00346,0.424958,0.996693,1,1,1,1,1,17.219,0,1,1.00332,0,0,0,0,0,ResNet50,1,128,40,2269160,1
Job93,21969000,21969000,1180625,1180625,1.00002,0.436646,1.00002,0.442372,1,1,1,1,1,1,16.5065,0,1,1,0,0,0,0,0,BERTLARGE,1,128,9,1180600,1
