Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,1224714,1224714,1.00074,1.00074,1.00074,1.06607,1,1,1,1,1,8,1.86879,0,1,1,0,0,0,0,0,ResNeXt,8,4,10,1223808,0.13
Job2,143000,143000,1064016,1064016,1.00006,1.00006,1.00006,1.04116,1,1,1,1,1,8,2,0,1,1,0,0,0,0,0,BERTLARGE,8,16,4,1063952,0.142
Job3,2044000,2044000,4890810,4890810,0.562867,0.464603,0.420958,0.46996,1.79633,1,1,1,1,16,6.02593,0,1,1,0,0,0,0,0,ResNet50,16,8,44,4890336,0.066
Job4,3321000,3321000,8082770,8082770,0.554787,0.561172,0.461758,0.563166,1.62224,1,1,5,2.02451,10.0233,7.7827,0,5,1,0,0,0,0,0,BERTLARGE,16,8,48,5657448,0.083
Job5,3416000,3416000,3584552,3584552,1.00041,0.38331,1.00041,0.385993,1,1,1,1,1,4,7.94099,0,1,1,0,0,0,0,0,ResNet50,4,32,39,3583080,0.255
Job6,3667000,3667000,10566170,9090916,0.744246,0.759457,0.637815,0.762251,1.21552,0.942901,0.714506,7,3.62902,9.05781,7.28374,1,7,1.16228,0,11,11,0,0,BERTLARGE,16,8,49,5719512,0.083
Job7,3796000,3806490,2901804,2891314,0.630264,0.366178,0.597435,0.372285,1.61453,1,1,1,1,8,8.56007,0,1,1.00363,0,0,0,0,0,GNMT,8,8,35,2891136,0.142
Job8,4172000,5653409,9561872,8006496,0.802251,0.835346,0.704407,0.838275,1.26902,1,1,6,4.1012,9.16413,7.5371,0,6,1.19426,1,0,0,0,0,GPT2_SMALL,16,16,43,4529248,0.072
Job9,4173000,6780199,16306670,8608899,1.65506,1.59375,1.26746,1.61266,0.66854,0.975066,0.925198,12,3.98273,9.99365,6.63761,3,12,1.89416,0,1,1,0,0,ResNet50,16,8,45,4920528,0.066
Job10,4187000,4204804,1466409,1448605,0.586644,0.362376,0.575106,0.374404,1.77539,1,1,1,1,8,9.17622,0,1,1.01229,0,0,0,0,0,GNMT,8,8,18,1448520,0.142
Job11,4592000,5653409,24180872,16311372,1.76977,1.83131,1.40096,1.84952,0.61264,0.94573,0.796489,28,5.09842,6.98262,6.58549,5,28,1.48245,1,4,4,0,0,VGG19,16,2,50,6633008,0.075
