Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job43,1055110000,1055110000,79470265,79470265,1,0.729111,1,0.730743,1,1,1,0,29.7966,0,VGG19,4,1059,79470265
Job44,1055810000,1055830000,33099090,33079090,1.0006,0.742224,1.0006,0.742991,0.999396,1,1,0,29.7076,0,GPT2_SMALL,4,756,33079090
Job45,1089118000,1089138000,184474360,184454360,0.685837,0.636507,0.551441,0.636676,1.45826,1,1,0,32.6514,0,BERTLARGE,8,1334,184454360
Job46,1089178000,1089198000,260580958,260560958,0.633484,0.600263,0.504729,0.60054,1.57902,1,1,0,35.679,0,GNMT,8,1433,260560958
Job47,1089256000,1089276000,36305357,36285357,1.00055,0.727773,1.00055,0.731342,0.999449,1,1,0,29.6771,0,VGG19,4,783,36285357
Job48,1095703000,1095723000,5170173,5150173,1.00388,0.74165,1.00388,0.768485,0.996132,1,1,0,29.4302,0,VGG19,4,325,5150173
Job49,1098649000,1098669000,270760348,270740348,0.618319,0.590651,0.495797,0.590909,1.61775,1,1,0,36.3214,0,GNMT,8,1440,270740348
Job50,1115291000,1115291000,243075550,243075550,1,0.585177,1,0.585248,1,1,1,0,36.6625,0,ResNeXt,1,1410,243075550
Job51,1119236000,1119256000,166978816,166958816,1.00012,0.621326,1.00012,0.621789,0.99988,1,1,0,33.7614,0,GNMT,4,1296,166958816
Job52,1130207000,1130227000,112563809,112543809,0.325164,0.599579,0.265582,0.599733,3.07626,1,1,0,33.9045,0,GPT2_SMALL,16,1154,112543809
Job53,1132891000,1132911000,148027877,148007877,0.659222,0.614928,0.53312,0.61526,1.5174,1,1,0,33.7819,0,ResNet50,8,1253,148007877
Job54,1137823000,1137843000,62475901,62455901,0.320811,0.580878,0.265295,0.581581,3.12151,1,1,0,33.9874,0,ResNet50,16,995,62455901
Job55,1138894000,1138914000,150901131,150881131,0.653279,0.61373,0.525481,0.614388,1.53167,1,1,0,34.2873,0,VGG19,8,1262,150881131
Job56,1141162000,1541421575,1838136468,914130786,1.69372,1.5164,1.4122,1.5165,0.592414,0.654356,0.304541,16,25.7168,0,BERTLARGE,8,1593,911062610
Job57,1145183000,1145183000,219971924,219971924,1,0.574841,1,0.575094,1,1,1,0,37.4774,0,VGG19,1,1380,219971924
Job58,1146097000,1146097000,110087765,110087765,1,0.605617,1,0.606429,1,1,1,0,33.9534,0,VGG19,4,1140,110087765
Job59,1176721000,1176741000,11486260,11466260,1.00174,0.578724,1.00174,0.581076,0.998259,1,1,0,34,0,ResNeXt,4,416,11466260
Job60,1190331000,1190351000,56244419,56224419,1.00036,0.61761,1.00036,0.618092,0.999644,1,1,0,34.127,0,BERTLARGE,4,944,56224419
Job61,1194392000,1194392000,66061324,66061324,1,0.632169,1,0.632605,1,1,1,0,33.6876,0,BERTLARGE,1,1017,66061324
Job62,1208341000,1256184765,527589980,342506110,1.14828,1.04701,0.942439,1.04725,0.871621,1,1,2,29.4471,0,ResNeXt,8,1473,342238420
Job63,1221256000,1221256000,53805849,53805849,1,0.648906,1,0.650817,1,1,1,0,33.4772,0,VGG19,4,925,53805849
Job64,1221387000,1221407000,178321,158321,1.12633,0.944211,1.12633,2.26132,0.887843,1,1,0,35,0,ResNet50,4,97,158321
Job65,1221737000,1221757000,7685528,7665528,1.00261,0.61192,1.00261,0.621822,0.997398,1,1,0,35.8505,0,GNMT,4,362,7665528
Job66,1222886000,1222886000,23874672,23874672,1,0.618978,1,0.622205,1,1,1,0,35.0989,0,GNMT,4,614,23874672
Job67,1267558000,1267578000,294777945,229148567,0.847341,0.799143,0.705993,0.799576,1.18394,1,1,3,32.9063,0,GNMT,8,1389,228486656
Job68,1268358000,1268378000,73482468,73462468,0.946986,0.539173,0.854168,0.539356,1.05602,1,1,0,42.1616,0,GPT2_SMALL,4,1042,73462468
Job69,1268764000,1268764000,43546238,43546238,0.998117,0.590252,0.913751,0.590895,1.00189,1,1,0,39.4043,0,ResNeXt,4,851,43546238
Job70,1272334000,1272354000,10093920,10073920,1.00199,0.63387,0.929721,0.641932,0.998019,1,1,0,38.8548,0,GNMT,4,394,10073920
Job71,1272358000,1272358000,26789150,26789150,1,0.614893,1,0.615604,1,1,1,0,39.759,0,ResNeXt,1,653,26789150
Job72,1272384000,1272384000,27045333,27045333,1,0.61554,1,0.617908,1,1,1,0,39.7593,0,VGG19,1,662,27045333
Job73,1272580000,1272580000,16194165,16194165,1,0.624867,1,0.628953,1,1,1,0,39.6118,0,VGG19,1,488,16194165
Job74,1272593000,1272593000,26911560,26911560,1,0.615289,1,0.617667,1,1,1,0,39.7859,0,VGG19,1,654,26911560
Job75,1272765000,1272765000,16526266,16526266,1,0.622847,1,0.624141,1,1,1,0,39.6548,0,ResNet50,1,494,16526266
Job76,1278513000,1411336874,848110545,664399480,1.12699,1.01279,0.956962,1.01304,0.942263,0.666558,0,3,25.4982,0,GNMT,8,1558,625692491
Job77,1278789000,1278809000,342048029,246512597,0.967656,0.89856,0.805011,0.898827,1.03694,1,1,6,31.1326,0,ResNeXt,8,1413,245711990
Job78,1278867000,1278867000,81115800,81115800,0.935033,0.51972,0.828874,0.520387,1.06965,1,1,0,43.4508,0,GNMT,4,1062,81115800
Job79,1278966000,1278986000,29024888,29004888,1.00069,0.58465,0.892729,0.587015,0.999311,1,1,0,40.3838,0,GNMT,4,701,29004888
Job80,1280734000,1280734000,44122704,44122704,0.961388,0.545583,0.855353,0.546936,1.04035,1,1,0,42.1156,0,GNMT,4,858,44122704
Job81,1281443000,1281443000,168970054,168970054,1,0.560244,1,0.560329,1,1,1,0,38.7301,0,GPT2_SMALL,1,1304,168970054
Job82,1288347000,1288367000,10764289,10744289,1.00186,0.608356,1.00186,0.615311,0.998142,1,1,0,40.1089,0,GNMT,1,402,10744289
Job83,1289097000,1289117000,105153720,105133720,0.501338,0.522917,0.429788,0.523117,2.00011,0.666667,0,0,42.0057,0,BERTLARGE,8,1123,104885945
Job84,1289286000,1289291266,104978,99712,1.05281,0.887675,1.05281,2.26442,0.949837,1,1,0,41.0502,0,BERTLARGE,1,64,99712
Job85,1289678000,1289698000,106307108,106287108,0.501275,0.522542,0.429774,0.523219,1.99738,1,1,0,41.9497,0,VGG19,8,1129,106287108
Job86,1298783000,1517054327,1300909842,822477788,1.33946,1.18392,1.1324,1.18414,0.750969,0.977225,0.954451,12,25.2908,0,GNMT,8,1583,817690544
Job87,1299331000,1299351000,222094480,182158352,0.747827,0.720448,0.636872,0.720712,1.3395,1,1,2,34.5204,0,ResNeXt,8,1328,181890960
Job88,1300314000,1300334000,108111430,108091430,0.503165,0.523174,0.432828,0.523294,1.98785,1,1,0,41.605,0,GPT2_SMALL,8,1135,108091430
Job89,1300345000,1300365000,104326435,104306435,0.497867,0.519947,0.430236,0.520147,2.00932,1,1,0,41.8632,0,BERTLARGE,8,1121,104306435
Job90,1304616000,1307990888,235290286,186065430,0.80157,0.762768,0.681988,0.762885,1.24799,0.993439,0.980318,1,33.3886,0,GPT2_SMALL,8,1340,186017270
Job91,1307191000,1307191000,84670,84670,1,0.729097,1,1.28717,1,1,1,0,42,0,ResNeXt,1,56,84670
Job92,1311633000,1311653000,84872624,84852624,0.938124,0.513389,0.849556,0.514011,1.06611,1,1,0,42.4002,0,GNMT,4,1074,84852624
Job93,1311659000,1311659000,93354425,93354425,0.949568,0.522182,0.862273,0.522504,1.05997,0.5,0,0,42.0265,0,ResNet50,4,1091,92756225
Job94,1311696000,1311716000,86798076,86778076,0.939402,0.514525,0.851588,0.514665,1.06454,1,1,0,42.287,0,GPT2_SMALL,4,1080,86778076
Job95,1311728000,1311728000,58475573,58475573,0.909866,0.496565,0.809802,0.497029,1.09925,1,1,0,44.4713,0,ResNet50,4,958,58475573
Job96,1311759000,1311779000,45743968,45723968,0.886547,0.485339,0.787498,0.486371,1.12854,1,1,0,45.7771,0,GNMT,4,866,45723968
Job97,1311783000,1311783000,86441062,86441062,0.939006,0.514199,0.851102,0.514339,1.06499,1,1,0,42.3015,0,GPT2_SMALL,4,1077,86441062
Job98,1311814000,1311834000,56665896,56645896,0.907366,0.495077,0.806666,0.495276,1.10217,1,1,0,44.6509,0,GPT2_SMALL,4,948,56645896
Job99,1320261000,1359021925,221160575,182399650,0.7847,0.742895,0.670094,0.743177,1.27465,1,1,0,32.5792,0,ResNeXt,8,1329,182399650
Job100,1326729000,1326749000,6250788,6230788,0.21833,0.463864,0.1954,0.468383,4.65659,1,1,0,47,0,ResNet50,16,343,6230788
Job101,1349940000,1349960000,63470352,63450352,1.00032,0.561438,1.00032,0.561786,0.999685,1,1,0,38.4541,0,ResNet50,2,999,63450352
Job102,1363483000,1363503000,127731720,127711720,0.640433,0.617643,0.553796,0.617873,1.56548,0.5,0,0,32.5937,0,BERTLARGE,8,1203,127410695
Job103,1366252000,1366272000,150802327,150782327,0.67003,0.636196,0.586489,0.636903,1.49333,1,1,0,30.7174,0,VGG19,8,1261,150782327
