user, #gpu, model, submitTime, queuingTime, scheduleTime, JCT, runningTime, finishTime, avgN, avgMM, fairness
user1, 4, GPT2-SMALL, 0, 0, 0, 3488, 3488, 3488, 6.51, 4, 1
user2, 4, ResNeXt, 363, 0, 363, 5814, 5814, 6177, 8.77, 4, 1.02
user3, 4, VGG19-I, 489, 0, 489, 2975, 2975, 3464, 7.34, 4, 1.05
user4, 4, VGG19-I, 1049, 0, 1049, 1353, 1353, 2402, 6.76, 4, 1.11
user5, 1, BERTLARGE, 1220, 0, 1220, 2712, 2712, 3932, 8.88, 1, 1
user6, 4, VGG19-I, 1353, 0, 1353, 4930, 4930, 6283, 9.96, 4, 1.07
user7, 1, VGG19-I, 1624, 0, 1624, 2278, 2278, 3902, 9.44, 1, 1.01
user8, 4, VGG19-I, 1850, 0, 1850, 2238, 2238, 4088, 9.66, 4, 1.04
user9, 4, VGG19-I, 2222, 0, 2222, 4183, 4183, 6405, 10.65, 4, 1.04
user10, 4, GPT2-SMALL, 2421, 0, 2421, 2822, 2822, 5243, 9.95, 4, 1.02
user11, 16, ResNet50, 2456, 0, 2456, 9826, 9826, 12282, 14.2, 6.54, 0.95
user12, 1, ResNeXt, 3002, 0, 3002, 3536, 3536, 6538, 10.97, 1, 0.98
user13, 2, BERTLARGE, 3695, 0, 3695, 3989, 3989, 7684, 12.48, 2, 0.98
user14, 4, VGG19-I, 3768, 0, 3768, 5216, 5216, 8984, 13.35, 3.95, 1.02
user15, 2, BERTLARGE, 4285, 0, 4285, 3328, 3328, 7613, 12.95, 2, 0.96
user16, 1, ResNet50, 4652, 0, 4652, 5527, 5527, 10179, 14.81, 1, 1.06
user17, 8, ResNeXt, 4869, 0, 4869, 14574, 14574, 19443, 18.31, 3.73, 0.89
user18, 16, ResNet50, 5191, 0, 5191, 6407, 6407, 11598, 15.58, 4.67, 1.05
user19, 1, GNMT, 5396, 0, 5396, 4719, 4719, 10115, 15.43, 1, 1.11
user20, 1, BERTLARGE, 5592, 0, 5592, 1949, 1949, 7541, 14.44, 1, 1.06
user21, 4, BERTLARGE, 6144, 0, 6144, 2101, 2101, 8245, 15.36, 3.87, 0.97
user22, 4, VGG19-I, 6256, 0, 6256, 5410, 5410, 11666, 16.22, 3.86, 0.97
user23, 1, ResNet50, 6361, 0, 6361, 2835, 2835, 9196, 15.74, 1, 1
user24, 4, GNMT, 6509, 0, 6509, 1666, 1666, 8175, 15.83, 3.84, 1.16
user25, 8, ResNeXt, 6602, 0, 6602, 6578, 6578, 13180, 17.2, 4.06, 1.05
user26, 1, BERTLARGE, 6784, 0, 6784, 1122, 1122, 7906, 16.37, 1, 0.99
user27, 1, VGG19-I, 7110, 0, 7110, 4545, 4545, 11655, 16.61, 1, 0.99
user28, 1, ResNet50, 7162, 0, 7162, 3366, 3366, 10528, 16.46, 1, 1
user29, 1, ResNeXt, 7374, 0, 7374, 6633, 6633, 14007, 17.87, 1, 1.02
user30, 1, ResNet50, 7556, 0, 7556, 2298, 2298, 9854, 16.33, 1, 1.03
