user, #gpu, model, submitTime, queuingTime, scheduleTime, JCT, runningTime, finishTime, avgN, avgMM, fairness
user1, 4, GPT2-SMALL, 0, 0, 0, 3544, 3544, 3544, 6.55, 4, 1.02
user2, 4, ResNeXt, 362, 0, 362, 5842, 5842, 6204, 8.8, 4, 1.03
user3, 4, VGG19-I, 488, 0, 488, 2922, 2922, 3410, 7.28, 4, 1.03
user4, 4, VGG19-I, 1048, 0, 1048, 1363, 1363, 2411, 6.78, 4, 1.12
user5, 1, BERTLARGE, 1219, 0, 1219, 2698, 2698, 3917, 8.89, 1, 1
user6, 4, VGG19-I, 1352, 0, 1352, 4714, 4714, 6066, 9.84, 4, 1.02
user7, 1, VGG19-I, 1623, 0, 1623, 2298, 2298, 3921, 9.45, 1, 1.02
user8, 4, VGG19-I, 1849, 0, 1849, 2364, 2364, 4213, 9.63, 4, 1.1
user9, 4, VGG19-I, 2221, 0, 2221, 4075, 4075, 6296, 10.57, 4, 1.01
user10, 4, GPT2-SMALL, 2420, 0, 2420, 2824, 2824, 5244, 10, 4, 1.02
user11, 16, ResNet50, 2455, 0, 2455, 7247, 7247, 9702, 12.94, 7.77, 0.83
user12, 1, ResNeXt, 3000, 0, 3000, 3514, 3514, 6514, 10.9, 1, 0.97
user13, 2, BERTLARGE, 3694, 0, 3694, 4330, 4330, 8024, 12.75, 2, 1.07
user14, 4, VGG19-I, 3768, 0, 3768, 5698, 5698, 9466, 13.45, 3.94, 1.11
user15, 2, BERTLARGE, 4284, 0, 4284, 3448, 3448, 7732, 13, 2, 0.99
user16, 1, ResNet50, 4651, 0, 4651, 5075, 5075, 9726, 14.3, 1, 0.97
user17, 8, ResNeXt, 4868, 0, 4868, 21412, 21412, 26280, 15.39, 4.78, 1.68
user18, 16, ResNet50, 5190, 0, 5190, 3132, 3132, 8322, 14.3, 4.86, 0.53
user19, 1, GNMT, 5395, 0, 5395, 4427, 4427, 9822, 14.9, 1, 1.04
user20, 1, BERTLARGE, 5591, 0, 5591, 1839, 1839, 7430, 14.05, 1, 1
user21, 4, BERTLARGE, 6142, 0, 6142, 1937, 1937, 8079, 15.31, 3.83, 0.88
user22, 4, VGG19-I, 6255, 0, 6255, 6734, 6734, 12989, 15.78, 3.79, 1.19
user23, 1, ResNet50, 6360, 0, 6360, 2733, 2733, 9093, 15.41, 1, 0.96
user24, 4, GNMT, 6509, 0, 6509, 1383, 1383, 7892, 16, 3.76, 0.95
user25, 8, ResNeXt, 6600, 0, 6600, 5103, 5103, 11703, 15.33, 5.69, 1.13
user26, 1, BERTLARGE, 6784, 0, 6784, 1132, 1132, 7916, 16.56, 1, 1
user27, 1, VGG19-I, 7109, 0, 7109, 4453, 4453, 11562, 15.36, 1, 0.97
user28, 1, ResNet50, 7162, 0, 7162, 3563, 3563, 10725, 15.39, 1, 1.06
user29, 1, ResNeXt, 7373, 0, 7373, 6367, 6367, 13740, 16.37, 1, 0.98
user30, 1, ResNet50, 7555, 0, 7555, 2241, 2241, 9796, 15.74, 1, 1
user31, 1, ResNeXt, 7993, 0, 7993, 2143, 2143, 10136, 15.11, 1, 0.97
user32, 1, GPT2-SMALL, 8360, 0, 8360, 5182, 5182, 13542, 16.35, 1, 1.07
user33, 1, GNMT, 8398, 0, 8398, 3293, 3293, 11691, 15.13, 1, 1.09
user34, 1, ResNeXt, 8760, 0, 8760, 4058, 4058, 12818, 15.97, 1, 1.03
user35, 1, VGG19-I, 9125, 0, 9125, 5603, 5603, 14728, 16.41, 1, 0.95
user36, 8, GPT2-SMALL, 9252, 0, 9252, 2466, 2466, 11718, 14.99, 6.17, 0.87
user37, 1, ResNeXt, 9750, 0, 9750, 1158, 1158, 10908, 13.89, 1, 0.97
user38, 1, ResNet50, 10014, 0, 10014, 1681, 1681, 11695, 14.84, 1, 1.03
user39, 4, GNMT, 10311, 0, 10311, 4685, 4685, 14996, 16.62, 3.46, 1.08
user40, 4, GNMT, 10539, 0, 10539, 3221, 3221, 13760, 17.41, 3.36, 0.9
user41, 4, GNMT, 10895, 0, 10895, 8515, 8515, 19410, 17.81, 3.61, 1.34
user42, 4, ResNeXt, 11157, 0, 11157, 2824, 2824, 13981, 17.99, 3.22, 0.85
user43, 1, GPT2-SMALL, 11231, 0, 11231, 1332, 1332, 12563, 17.21, 1, 1.1
user44, 1, ResNeXt, 11336, 0, 11336, 1616, 1616, 12952, 18.06, 1, 0.99
user45, 1, ResNet50, 11553, 0, 11553, 6100, 6100, 17653, 18.19, 1, 0.99
user46, 4, BERTLARGE, 11671, 0, 11671, 3068, 3068, 14739, 17.57, 3.2, 0.92
user47, 1, ResNeXt, 11712, 0, 11712, 6228, 6228, 17940, 18.33, 1, 1.02
user48, 4, VGG19-I, 11838, 0, 11838, 1813, 1813, 13651, 18.87, 2.97, 0.77
user49, 4, ResNet50, 11980, 0, 11980, 1367, 1367, 13347, 19.12, 2.91, 0.76
user50, 4, ResNet50, 12162, 0, 12162, 2914, 2914, 15076, 17.29, 3.19, 1.04
user51, 4, ResNet50, 12354, 0, 12354, 3607, 3607, 15961, 17.03, 3.31, 1.07
user52, 1, ResNeXt, 12431, 0, 12431, 1413, 1413, 13844, 19.28, 1, 1.01
user53, 1, ResNeXt, 12537, 0, 12537, 3869, 3869, 16406, 17.48, 1, 0.97
user54, 4, ResNeXt, 12654, 0, 12654, 6509, 6509, 19163, 18.15, 3.59, 1.17
user55, 8, ResNeXt, 12985, 0, 12985, 1744, 1744, 14729, 17.01, 3.19, 0.49
user56, 2, GPT2-SMALL, 13346, 0, 13346, 2232, 2232, 15578, 15.2, 2, 1.03
user57, 4, GNMT, 13504, 0, 13504, 3074, 3074, 16578, 17, 3.55, 0.98
user58, 1, BERTLARGE, 13821, 0, 13821, 5448, 5448, 19269, 17.9, 1, 1.04
user59, 2, ResNet50, 14480, 0, 14480, 2669, 2669, 17149, 18.21, 2, 1.06
user60, 8, GPT2-SMALL, 14944, 0, 14944, 7570, 7570, 22514, 17.24, 4.21, 0.85
user61, 8, GNMT, 15304, 0, 15304, 12873, 12873, 28177, 13.77, 4.96, 1.47
user62, 1, GPT2-SMALL, 15450, 0, 15450, 1964, 1964, 17414, 20.87, 1, 1.19
user63, 1, ResNet50, 15555, 0, 15555, 3786, 3786, 19341, 19.53, 1, 1.03
user64, 1, ResNeXt, 15555, 0, 15555, 3488, 3488, 19043, 19.78, 1, 1.02
user65, 1, BERTLARGE, 15555, 0, 15555, 3418, 3418, 18973, 19.82, 1, 0.93
user66, 1, GNMT, 15555, 0, 15555, 2687, 2687, 18242, 20.59, 1, 1.01
user67, 1, VGG19-I, 15555, 0, 15555, 2335, 2335, 17890, 21.17, 1, 1.16
user68, 4, GNMT, 15586, 0, 15586, 1412, 1412, 16998, 21.36, 3.55, 0.93
user69, 1, ResNet50, 15793, 0, 15793, 4431, 4431, 20224, 18.88, 1, 1.03
user70, 1, GPT2-SMALL, 15793, 0, 15793, 3274, 3274, 19067, 19.82, 1, 1.02
user71, 1, VGG19-I, 15794, 0, 15794, 2212, 2212, 18006, 21.25, 1, 0.98
user72, 1, BERTLARGE, 15794, 0, 15794, 2020, 2020, 17814, 21.47, 1, 1.06
user73, 1, GPT2-SMALL, 16668, 0, 16668, 3597, 3597, 20265, 18.14, 1, 1.09
user74, 1, ResNet50, 16761, 0, 16761, 1220, 1220, 17981, 20.97, 1, 1.11
user75, 8, GNMT, 17119, 0, 17119, 3889, 3889, 21008, 17.3, 4.17, 0.68
user76, 1, GNMT, 17422, 0, 17422, 3116, 3116, 20538, 17.13, 1, 1.07
user77, 1, GNMT, 17653, 0, 17653, 6380, 6380, 24033, 16.26, 1, 1.08
user78, 8, GNMT, 18284, 0, 18284, 11031, 11031, 29315, 10.92, 5.49, 1.33
user79, 2, GNMT, 18683, 0, 18683, 7294, 7294, 25977, 14.05, 2, 1.3
user80, 2, ResNeXt, 18720, 0, 18720, 2905, 2905, 21625, 16.22, 2, 0.99
user81, 2, GPT2-SMALL, 18754, 0, 18754, 2026, 2026, 20780, 16.45, 2, 1
user82, 1, GPT2-SMALL, 19064, 0, 19064, 2366, 2366, 21430, 15.99, 1, 1.06
user83, 16, ResNet50, 19208, 0, 19208, 12966, 12966, 32174, 8.3, 9.98, 1.11
user84, 1, ResNet50, 19366, 0, 19366, 2766, 2766, 22132, 15.53, 1, 0.97
user85, 2, ResNet50, 19549, 0, 19549, 2448, 2448, 21997, 15.59, 2, 1.02
user86, 8, BERTLARGE, 19960, 0, 19960, 1339, 1339, 21299, 16.09, 3.58, 0.53
user87, 4, VGG19-I, 20422, 0, 20422, 4559, 4559, 24981, 14.75, 3.58, 1.29
user88, 4, GNMT, 20618, 0, 20618, 1117, 1117, 21735, 15.55, 3.61, 0.92
user89, 1, GNMT, 20715, 0, 20715, 3664, 3664, 24379, 15.47, 1, 1.06
user90, 1, VGG19-I, 20982, 0, 20982, 3001, 3001, 23983, 15.78, 1, 1
user91, 8, VGG19-I, 21482, 0, 21482, 2574, 2574, 24056, 15.8, 3.56, 0.95
user92, 1, ResNet50, 21758, 0, 21758, 2332, 2332, 24090, 15.93, 1, 1.09
user93, 1, BERTLARGE, 21968, 0, 21968, 1118, 1118, 23086, 14.82, 1, 1.1
user94, 16, GPT2-SMALL, 22016, 0, 22016, 2328, 2328, 24344, 15.7, 3.47, 0.54
user95, 4, BERTLARGE, 22610, 0, 22610, 5861, 5861, 28471, 8.68, 3.76, 1.16
user96, 4, BERTLARGE, 22862, 0, 22862, 2051, 2051, 24913, 14.83, 3.31, 1.76
user97, 4, VGG19-I, 22888, 0, 22888, 1026, 1026, 23914, 18.04, 2.76, 0.83
user98, 4, GPT2-SMALL, 22896, 0, 22896, 1131, 1131, 24027, 17.92, 2.78, 0.76
user99, 1, ResNeXt, 22950, 0, 22950, 2161, 2161, 25111, 14.17, 1, 0.96
user100, 8, ResNeXt, 22971, 0, 22971, 2256, 2256, 25227, 13.77, 4.01, 1.05
