Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,3533555,3533555,1.0005,0.95897,1.0005,0.967901,1,1,1,1,1,4,6.47486,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,66,3531792,0.26
Job2,363000,363000,5650680,5650680,1.00054,0.883581,1.00054,0.894067,1,1,1,1,1,4,8.57999,0,1,1,0,0,0,0,0,ResNeXt,4,8,92,5647608,0.253
Job3,489000,489000,2835952,2835952,1,0.954419,1,0.977446,1,1,1,1,1,4,7.11516,0,1,1,0,0,0,0,0,VGG19,4,8,50,2835952,0.258
Job4,1049000,1049000,1217776,1217776,1,1,1,1.06099,1,1,1,1,1,4,6.51514,0,1,1,0,0,0,0,0,VGG19,4,8,12,1217776,0.258
Job5,1221000,1221000,2784500,2784500,1.00002,0.939012,1.00002,0.950227,1,1,1,1,1,1,8.82727,0,1,1,0,0,0,0,0,BERTLARGE,1,128,47,2784440,1
Job6,1353000,1353000,4604656,4604656,1,0.86495,1,0.876474,1,1,1,1,1,4,9.67075,0,1,1,0,0,0,0,0,VGG19,4,8,80,4604656,0.258
Job7,1625000,1625000,2269252,2269252,1.00029,0.931806,1.00029,0.959382,1,1,1,1,1,1,9.33129,0,1,1,0,0,0,0,0,VGG19,1,32,37,2268592,1
Job8,1850000,1850000,2158576,2158576,1,0.924018,1,0.952561,1,1,1,1,1,4,9.60829,0,1,1,0,0,0,0,0,VGG19,4,8,30,2158576,0.258
Job9,2222000,2222000,4030768,4030768,1,0.825904,0.965816,0.837923,1,1,1,1,1,4,10.3602,0,1,1,0,0,0,0,0,VGG19,4,8,76,4030768,0.258
Job10,2421000,2421000,2765360,2765360,1.0005,0.908663,1.0005,0.918929,1,1,1,1,1,4,9.87278,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,46,2763984,0.26
Job11,2453000,2453000,10337404,10337404,1.07083,1.62575,0.460099,1.65702,1.03209,0.994703,0.973517,8,2.78478,6.67651,14.4946,0,8,1,0,1,1,0,0,ResNet50,16,8,74,3974512,0.066
Job12,3002000,3002000,3628664,3628664,1.00067,0.788678,1.00067,0.801747,1,1,1,1,1,1,10.8297,0,1,1,0,0,0,0,0,ResNeXt,1,32,68,3626232,1
Job13,3696000,3701445,3968465,3963020,1.00146,0.690386,1.00146,0.694615,0.998628,1,1,1,1,2,12.2964,0,1,1.00137,0,0,0,0,0,BERTLARGE,2,64,73,3962680,0.5
Job14,3768000,3768000,5056240,5056240,0.986698,0.659053,0.762218,0.665122,1.01367,1,1,1,1,4,13.1634,0,1,1,0,0,0,0,0,VGG19,4,8,84,5056240,0.258
Job15,4286000,4290860,3390230,3385370,1.00152,0.658419,1.00152,0.662925,0.998566,1,1,1,1,2,12.8397,0,1,1.00144,0,0,0,0,0,BERTLARGE,2,64,62,3385080,0.5
Job16,4653000,4653000,5355776,5355776,1.00015,0.611496,1.00015,0.616068,1,1,1,1,1,1,14.5819,0,1,1,0,0,0,0,0,ResNet50,1,128,87,5354984,1
Job17,4868000,4868000,15377769,15372494,0.976435,1.16889,0.57441,1.1756,1.11309,0.768361,0.588865,15,2.10464,4.073,18.6252,0,15,1.00034,1,182,182,0,0,ResNeXt,8,4,100,7241736,0.13
Job18,5187000,5187000,6761005,6761005,1.20628,2.25852,0.661408,2.35283,0.863738,1,1,3,3.95871,4.08257,15.5868,0,3,1,0,0,0,0,0,ResNet50,16,8,22,1740304,0.066
Job19,5397000,5397000,4322308,4322308,1.00019,0.595528,1.00019,0.605539,1,1,1,1,1,1,15.1361,0,1,1,0,0,0,0,0,GNMT,1,64,77,4321472,1
Job20,5593000,5593000,1868000,1868000,1.00002,0.600493,1.00002,0.607326,1,1,1,1,1,1,13.9935,0,1,1,0,0,0,0,0,BERTLARGE,1,128,24,1867960,1
Job21,6143000,6164477,2160012,2138535,0.978743,0.575334,0.663486,0.580748,1.02233,1,1,1,1,4,15.3115,0,1,1.01004,0,0,0,0,0,BERTLARGE,4,32,29,2138360,0.264
Job22,6256000,6256000,5376112,5376112,0.964479,0.559389,0.623073,0.563493,1.03731,1,1,1,1,4,16.1293,0,1,1,0,0,0,0,0,VGG19,4,8,88,5376112,0.258
Job23,6362000,6365477,2860831,2857354,1.00136,0.580616,1.00136,0.588378,0.998785,1,1,1,1,1,15.7992,0,1,1.00122,0,0,0,0,0,ResNet50,1,128,52,2856936,1
Job24,6509000,6523880,1823418,1808538,1.26875,0.751426,0.854055,0.790518,0.880632,1,1,3,1.29065,3.4187,15.8923,0,3,1.00823,0,0,0,0,0,GNMT,4,16,18,1387920,0.259
Job25,6600000,6600000,7376987,7359420,1.16996,1.29489,0.691495,1.31216,0.901945,0.671979,0.343958,7,2.53781,3.46219,17.7598,0,7,1.00239,0,73,73,0,0,ResNeXt,8,4,58,3057336,0.13
Job26,6785000,6787998,1183623,1180625,1.00256,0.550743,1.00256,0.559861,0.997467,1,1,1,1,1,16.3216,0,1,1.00254,0,0,0,0,0,BERTLARGE,1,128,10,1180600,1
Job27,7111000,7111000,4601792,4601792,1.0003,0.5535,1.0003,0.5582,1,1,1,1,1,1,16.5635,0,1,1,0,0,0,0,0,VGG19,1,32,79,4600432,1
Job28,7163000,7179414,3461632,3445218,1.00491,0.577189,1.00491,0.583514,0.995258,1,1,1,1,1,16.3555,0,1,1.00476,0,0,0,0,0,ResNet50,1,128,64,3444712,1
Job29,7375000,7375000,6488253,6488253,1.00068,0.532999,1.00068,0.536303,1,1,1,1,1,1,17.9831,0,1,1,0,0,0,0,0,ResNeXt,1,32,98,6483864,1
Job30,7557000,7557000,2269490,2269490,1.00015,0.587669,1.00015,0.597729,1,1,1,1,1,1,16.3422,0,1,1,0,0,0,0,0,ResNet50,1,128,39,2269160,1
Job31,7995000,7995000,2212751,2212751,1.00066,0.594532,1.00066,0.606759,1,1,1,1,1,1,16.2576,0,1,1,0,0,0,0,0,ResNeXt,1,32,32,2211288,1
Job32,8362000,8413238,5171862,5120624,1.01069,0.537165,1.01069,0.539068,0.990093,1,1,1,1,1,18.0285,0,1,1.01001,0,0,0,0,0,GPT2_SMALL,1,256,85,5117136,1
Job33,8399000,8413238,3094955,3080717,1.00481,0.568489,1.00481,0.581302,0.9954,1,1,1,1,1,16.4844,0,1,1.00462,0,0,0,0,0,GNMT,1,64,59,3080128,1
Job34,8761000,8761000,3934057,3934057,1.00067,0.533409,1.00067,0.538889,1,1,1,1,1,1,17.5254,0,1,1,0,0,0,0,0,ResNeXt,1,32,72,3931416,1
Job35,9127000,9127000,5901350,5901350,1.0003,0.522189,1.0003,0.525444,1,1,1,1,1,1,18.9092,0,1,1,0,0,0,0,0,VGG19,1,32,94,5899600,1
Job36,9251000,9252238,5519157,5517919,1.04998,1.31725,0.67955,1.32962,0.979955,0.946177,0.892354,8,2.7927,3.2073,18.9377,0,8,1.00022,0,2,2,0,0,GPT2_SMALL,8,32,31,2173048,0.139
Job37,9752000,9752000,1213283,1213283,1.00064,0.564552,1.00064,0.584966,1,1,1,1,1,1,16.0972,0,1,1,0,0,0,0,0,ResNeXt,1,32,11,1212504,1
Job38,10015000,10015000,1681626,1681626,1.00014,0.525174,1.00014,0.536056,1,1,1,1,1,1,16.7794,0,1,1,0,0,0,0,0,ResNet50,1,128,21,1681384,1
Job39,10312000,10317248,6246670,6214455,1.09778,0.850001,0.813307,0.864111,0.986795,0.935569,0.871138,7,1.70552,2.58895,20.8011,0,7,1.00518,1,6,6,0,0,GNMT,4,16,71,3754704,0.259
Job40,10540000,10540000,6011742,5965448,1.27838,1.00756,0.959225,1.02824,0.867018,0.935565,0.88259,8,1.88259,2.23482,20.9783,0,8,1.00776,1,3,3,0,0,GNMT,4,16,57,3050304,0.259
Job41,10896000,10915808,9155279,9090800,1.08651,0.8418,0.763163,0.851192,0.975974,0.595947,0.206936,8,1.66636,2.66727,21.0756,0,8,1.00709,0,43,43,0,0,GNMT,4,16,93,5755200,0.259
Job42,11158000,11170084,5314842,5302758,1.21252,1.00496,0.939094,1.01942,0.825081,1,1,1,2,2,21.4386,0,1,1.00228,0,0,0,0,0,ResNeXt,4,8,44,2679904,0.253
Job43,11233000,11233000,1305656,1305656,1.00067,0.49167,1.00067,0.498047,1,1,1,1,1,1,19.2186,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,14,1304784,1
