Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,3533555,3533555,1.0005,0.95897,1.0005,0.967901,1,1,1,1,1,4,6.47486,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,66,3531792,0.26
Job2,363000,363000,5650680,5650680,1.00054,0.883581,1.00054,0.894067,1,1,1,1,1,4,8.57999,0,1,1,0,0,0,0,0,ResNeXt,4,8,92,5647608,0.253
Job3,489000,489000,2835952,2835952,1,0.954419,1,0.977446,1,1,1,1,1,4,7.11516,0,1,1,0,0,0,0,0,VGG19,4,8,50,2835952,0.258
Job4,1049000,1049000,1217776,1217776,1,1,1,1.06099,1,1,1,1,1,4,6.51514,0,1,1,0,0,0,0,0,VGG19,4,8,12,1217776,0.258
Job5,1221000,1221000,2784500,2784500,1.00002,0.939012,1.00002,0.950227,1,1,1,1,1,1,8.82727,0,1,1,0,0,0,0,0,BERTLARGE,1,128,47,2784440,1
Job6,1353000,1353000,4604656,4604656,1,0.86495,1,0.876474,1,1,1,1,1,4,9.67075,0,1,1,0,0,0,0,0,VGG19,4,8,80,4604656,0.258
Job7,1625000,1625000,2269252,2269252,1.00029,0.931806,1.00029,0.959382,1,1,1,1,1,1,9.33129,0,1,1,0,0,0,0,0,VGG19,1,32,37,2268592,1
Job8,1850000,1850000,2158576,2158576,1,0.924018,1,0.952561,1,1,1,1,1,4,9.60829,0,1,1,0,0,0,0,0,VGG19,4,8,30,2158576,0.258
Job9,2222000,2222000,4030768,4030768,1,0.825904,0.965816,0.837923,1,1,1,1,1,4,10.3602,0,1,1,0,0,0,0,0,VGG19,4,8,76,4030768,0.258
Job10,2421000,2421000,2765360,2765360,1.0005,0.908663,1.0005,0.918929,1,1,1,1,1,4,9.87278,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,46,2763984,0.26
Job11,2453000,2453000,7365415,7365415,0.916163,1.31539,0.36461,1.34419,1.24087,0.934728,0.744224,8,2.06021,9.66323,13.0242,0,8,1,0,25,25,0,0,ResNet50,16,8,74,3974512,0.066
Job12,3002000,3002000,3628664,3628664,1.00067,0.788678,1.00067,0.801747,1,1,1,1,1,1,10.8297,0,1,1,0,0,0,0,0,ResNeXt,1,32,68,3626232,1
Job13,3696000,3696000,4096730,4096730,1.03383,0.706559,1.03383,0.71085,0.969581,1,1,2,1.06084,1.93916,12.4538,0,2,1,0,0,0,0,0,BERTLARGE,2,64,73,3962680,0.5
Job14,3768000,3771900,5905424,5873344,1.15288,0.787314,0.861768,0.794731,0.91692,1,1,7,1.18025,3.63949,13.6028,0,7,1.00546,0,0,0,0,0,VGG19,4,8,84,5056240,0.258
Job15,4286000,4293484,3392854,3385370,1.0023,0.658645,1.0023,0.663151,0.997794,1,1,1,1,2,12.8551,0,1,1.00221,0,0,0,0,0,BERTLARGE,2,64,62,3385080,0.5
Job16,4653000,4653000,5355776,5355776,1.00015,0.650638,1.00015,0.655817,1,1,1,1,1,1,14.4311,0,1,1,0,0,0,0,0,ResNet50,1,128,87,5354984,1
Job17,4868000,4874100,22016052,21799047,1.80625,1.98333,1.006,1.99682,0.640075,0.894746,0.794249,52,4.25754,3.05959,15.2159,0,52,1.00995,5,198,198,0,0,ResNeXt,8,4,100,7241736,0.13
Job18,5187000,5187769,3518407,3494768,0.666527,1.23315,0.372196,1.28729,1.64013,0.907645,0.722936,3,1.96273,8.29816,14.4002,0,3,1.00676,0,3,3,0,0,ResNet50,16,8,22,1740304,0.066
Job19,5397000,5397688,4322996,4322308,1.00035,0.625006,1.00035,0.636041,0.999841,1,1,1,1,1,15.0488,0,1,1.00016,0,0,0,0,0,GNMT,1,64,77,4321472,1
Job20,5593000,5620128,1895128,1868000,1.01454,0.608075,1.01454,0.614981,0.985685,1,1,1,1,1,14.0508,0,1,1.01452,0,0,0,0,0,BERTLARGE,1,128,24,1867960,1
Job21,6143000,6178912,2201047,2165135,0.993775,0.591425,0.68092,0.59704,1.01945,0.5,0,1,1,4,15.2017,0,1,1.01659,0,8,8,0,0,BERTLARGE,4,32,29,2138360,0.264
Job22,6256000,6256000,7147753,7084946,1.23631,0.920895,0.821609,0.929276,0.88156,0.921147,0.849774,13,1.42111,3.30499,16.2637,0,13,1.00886,0,8,8,0,0,VGG19,4,8,88,5376112,0.258
Job23,6362000,6369397,2864751,2857354,1.00274,0.605255,1.00274,0.613683,0.997418,1,1,1,1,1,15.6835,0,1,1.00259,0,0,0,0,0,ResNet50,1,128,52,2856936,1
Job24,6509000,6519352,1406867,1396515,0.962584,0.575741,0.654284,0.605475,1.05029,0.5,0,1,1,4,16.0124,0,1,1.00741,0,9,9,0,0,GNMT,4,16,18,1387920,0.259
Job25,6600000,6617995,4998795,4980800,1.1236,1.13128,0.533749,1.15081,0.961085,0.927913,0.850547,6,1.85621,5.26145,15.5758,0,6,1.00361,0,18,18,0,0,ResNeXt,8,4,58,3057336,0.13
Job26,6785000,6788292,1183917,1180625,1.00281,0.550408,1.00281,0.559512,0.997219,1,1,1,1,1,16.4102,0,1,1.00279,0,0,0,0,0,BERTLARGE,1,128,10,1180600,1
Job27,7111000,7128684,4619476,4601792,1.00414,0.716188,1.00414,0.724045,0.996172,1,1,1,1,1,15.6939,0,1,1.00384,0,0,0,0,0,VGG19,1,32,79,4600432,1
Job28,7163000,7218675,3500893,3445218,1.01631,0.700154,1.01631,0.709375,0.984097,1,1,1,1,1,15.782,0,1,1.01616,0,0,0,0,0,ResNet50,1,128,64,3444712,1
Job29,7375000,7379805,6493058,6488253,1.00142,0.71524,1.00142,0.721198,0.99926,1,1,1,1,1,16.7052,0,1,1.00074,0,0,0,0,0,ResNeXt,1,32,98,6483864,1
Job30,7557000,7606706,2319196,2269490,1.02205,0.67223,1.02205,0.685138,0.978568,1,1,1,1,1,16.0893,0,1,1.0219,0,0,0,0,0,ResNet50,1,128,39,2269160,1
Job31,7995000,8079396,2297147,2212751,1.03883,0.757576,1.03883,0.77679,0.963261,1,1,1,1,1,15.6155,0,1,1.03814,0,0,0,0,0,ResNeXt,1,32,32,2211288,1
Job32,8362000,8364270,5122894,5120624,1.00113,0.759032,1.00113,0.762875,0.999557,1,1,1,1,1,16.6766,0,1,1.00044,0,0,0,0,0,GPT2_SMALL,1,256,85,5117136,1
Job33,8399000,8430537,3112254,3080717,1.01043,0.808852,1.01043,0.83489,0.989867,1,1,1,1,1,15.4099,0,1,1.01024,0,0,0,0,0,GNMT,1,64,59,3080128,1
Job34,8761000,8768623,3941680,3934057,1.00261,0.812237,1.00261,0.824987,0.998066,1,1,1,1,1,16.0904,0,1,1.00194,0,0,0,0,0,ResNeXt,1,32,72,3931416,1
Job35,9127000,9138503,5912853,5901350,1.00225,0.763424,1.00225,0.770387,0.998055,1,1,1,1,1,16.6639,0,1,1.00195,0,0,0,0,0,VGG19,1,32,94,5899600,1
Job36,9251000,9312872,2673017,2611145,0.908723,1.02227,0.405314,1.03775,1.13087,0.615636,0,3,1.51453,6.80933,15.3603,0,3,1.0237,0,12,12,0,0,GPT2_SMALL,8,32,31,2173048,0.139
Job37,9752000,9835805,1297088,1213283,1.06976,0.997659,1.06976,1.05873,0.93539,1,1,1,1,1,14.3404,0,1,1.06907,0,0,0,0,0,ResNeXt,1,32,11,1212504,1
Job38,10015000,10015000,1681626,1681626,1.00014,0.877457,1.00014,0.908263,1,1,1,1,1,1,14.8932,0,1,1,0,0,0,0,0,ResNet50,1,128,21,1681384,1
Job39,10312000,10314347,5430664,5365354,1.2548,1.09748,0.875502,1.12475,0.894623,0.75978,0.632757,7,1.43568,3.12864,16.7357,0,7,1.01217,0,16,16,0,0,GNMT,4,16,71,3754704,0.259
Job40,10540000,10543327,3393015,3377188,0.928206,0.822584,0.642617,0.847232,1.15251,0.540288,0.0805762,3,1.08058,3.83885,17.6091,0,3,1.00469,0,40,40,0,0,GNMT,4,16,57,3050304,0.259
Job41,10896000,10899002,9153478,9141900,1.41164,1.12338,0.885293,1.14017,0.790516,0.743332,0.486665,14,1.91617,2.80336,18.1351,0,14,1.00127,0,62,62,0,0,GNMT,4,16,93,5755200,0.259
Job42,11158000,11168885,2723099,2712214,0.80757,0.722911,0.560708,0.737597,1.26062,0.333333,0,1,1,4,18.3559,0,1,1.00401,0,187,187,0,0,ResNeXt,4,8,44,2679904,0.253
