Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job46,11672000,11672000,3207300,3141796,0.816203,0.619219,0.594223,0.627843,1.30109,0.5,0,2,18.3354,0,BERTLARGE,4,56,2976091
Job47,11714000,11734000,6206590,6186590,1.00323,0.575512,1.00323,0.578212,0.996778,1,1,0,19.3896,0,ResNeXt,1,95,6186590
Job48,11838000,11858000,2160721,2140721,0.707137,0.574412,0.542959,0.614156,1.46848,1,1,0,19.6917,0,VGG19,4,27,2140721
Job49,11981000,11981000,1423340,1423340,0.671699,0.554851,0.513466,0.57971,1.5297,1,1,0,20.2691,0,ResNet50,4,18,1423340
Job50,12163000,12183000,2640893,2504893,0.817902,0.630733,0.613395,0.647751,1.31476,0.5,0,1,18.6459,0,ResNet50,4,39,2360024
Job51,12355000,13404340,4148379,3067242,1.08827,0.805015,0.763542,0.822573,0.968498,1,1,1,18.835,0,ResNet50,4,53,2936159
Job52,12432000,12452000,1413230,1393230,1.01436,0.526063,1.01436,0.536111,0.985848,1,1,0,20.5891,0,ResNeXt,1,17,1393230
Job53,12539000,12559000,4028590,4008590,1.00499,0.567056,1.00499,0.571103,0.995035,1,1,0,18.8207,0,ResNeXt,1,73,4008590
Job54,12655000,13998721,6870628,5182328,1.16419,0.78058,0.733101,0.78777,0.899629,0.423744,0.0969215,2,19.0375,0,ResNeXt,4,82,4961048
Job55,12985000,13815437,2208421,1377984,0.682332,0.953561,0.499096,1.00247,1.56106,0.666667,0,0,17.2678,0,ResNeXt,8,16,1361520
Job56,13347000,13347000,2300686,2300686,1,0.598757,1,0.605836,1,0.5,0,0,16.3047,0,GPT2_SMALL,2,33,2300686
Job57,13505000,13795437,2954045,2663608,0.921948,0.665074,0.636463,0.696432,1.09951,1,1,0,18.0278,0,GNMT,4,43,2663608
Job58,13823000,13845230,5457754,5435524,1.00409,0.585515,1.00409,0.590066,0.995927,1,1,0,18.7918,0,BERTLARGE,1,90,5435524
Job59,14481000,14501000,2635088,2615088,1.00765,0.596719,1.00765,0.60633,0.99241,1,1,0,19.4569,0,ResNet50,2,42,2615088
Job60,14944000,15193421,13706285,5107219,1.6705,1.52308,1.00561,1.53114,0.614089,0.414693,0,2,13.72,0,GPT2_SMALL,8,84,4997208
Job61,15304000,15324000,11908444,6326478,1.43502,1.36044,0.87199,1.39225,0.946685,0.655101,0.0880303,6,14.8048,0,GNMT,8,80,4744670
Job62,15452000,15472000,1718030,1698030,1.01178,0.573287,1.01178,0.582189,0.988359,1,1,0,22.1782,0,GPT2_SMALL,1,22,1698030
Job63,15555000,15555000,3735874,3735874,1,0.563215,1,0.567924,1,1,1,0,20.5069,0,ResNet50,1,70,3735874
