rc_file name: a/coldzero-s-alpha-zero-fixedgbs-pknob-1.50/jr_s-alpha-zero_phase.json
max schd: 0.006361, max dp: 0.000499, max job: 23
Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,3503409,3503409,1.00011,0.960292,1.00011,0.960292,1,1,1,1,1,4,6.40457,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,67,3503040,0.26
Job2,363000,363000,5604864,5604864,1.00027,0.888215,1.00027,0.888215,1,1,1,1,1,4,8.47244,0,1,1,0,0,0,0,0,ResNeXt,4,8,92,5603328,0.253
Job3,489000,489000,2765952,2765952,1,0.956227,1,0.956227,1,1,1,1,1,4,6.99153,0,1,1,0,0,0,0,0,VGG19,4,8,50,2765952,0.258
Job4,1049000,1049000,1147776,1147776,1,1,1,1,1,1,1,1,1,4,6.38557,0,1,1,0,0,0,0,0,VGG19,4,8,11,1147776,0.258
Job5,1221000,1221000,2749500,2749500,1.00002,0.943241,1.00002,0.943241,1,1,1,1,1,1,8.71339,0,1,1,0,0,0,0,0,BERTLARGE,1,128,48,2749440,1
Job6,1353000,1353000,4534656,4534656,1,0.871768,1,0.871768,1,1,1,1,1,4,9.53641,0,1,1,0,0,0,0,0,VGG19,4,8,80,4534656,0.258
Job7,1625000,1625000,2199252,2199252,1.0003,0.934806,1.0003,0.934806,1,1,1,1,1,1,9.20081,0,1,1,0,0,0,0,0,VGG19,1,32,37,2198592,1
Job8,1850000,1850000,2088576,2088576,1,0.926571,1,0.926571,1,1,1,1,1,4,9.48165,0,1,1,0,0,0,0,0,VGG19,4,8,29,2088576,0.258
Job9,2222000,2222000,3960768,3960768,1,0.832474,0.979109,0.832474,1,1,1,1,1,4,10.2134,0,1,1,0,0,0,0,0,VGG19,4,8,74,3960768,0.258
Job10,2421000,2421000,2734368,2734368,1.00011,0.914096,1.00011,0.914096,1,1,1,1,1,4,9.75938,0,1,1,0,0,0,0,0,GPT2_SMALL,4,64,47,2734080,0.26
Job11,2453000,2453000,6236818,6222290,0.776373,1.07097,0.303297,1.07097,1.19969,0.966242,0.837448,12,1.82665,10.0022,12.3098,0,12,1.00233,0,4,4,0,0,ResNet50,16,8,76,4176232,0.066
Job12,3002000,3002000,3553664,3553664,1.00068,0.797866,1.00068,0.797866,1,1,1,1,1,1,10.6157,0,1,1,0,0,0,0,0,ResNeXt,1,32,68,3551232,1
Job13,3696000,3705854,4114164,4104310,1.00249,0.685631,1.00249,0.685631,0.997605,1,1,1,1,2,12.3729,0,1,1.0024,0,0,0,0,0,BERTLARGE,2,64,75,4103936,0.5
Job14,3768000,3768000,6324937,6277977,1.25189,0.923512,0.942977,0.923512,0.785064,1,1,16,1.46362,3.12238,13.4519,0,16,1.00748,1,0,0,0,0,VGG19,4,8,84,4986240,0.258
Job15,4286000,4294848,3509583,3500735,1.00262,0.654258,1.00262,0.654258,0.997479,1,1,1,1,2,12.9254,0,1,1.00253,0,0,0,0,0,BERTLARGE,2,64,66,3500416,0.5
Job16,4653000,4653000,5290776,5290776,1.00015,0.694426,1.00015,0.694426,1,1,1,1,1,1,14.1831,0,1,1,0,0,0,0,0,ResNet50,1,128,87,5289984,1
Job17,4868000,4878321,14036172,13890485,1.20759,1.38707,0.577157,1.38707,0.797352,0.894328,0.816085,52,2.63332,4.19583,16.0713,0,52,1.01049,2,88,88,0,0,ResNeXt,8,4,100,7566144,0.13
Job18,5187000,5187334,2907459,2860399,0.518496,0.980413,0.292853,0.980413,1.75813,0.810771,0.445915,9,1.98563,8.95159,14.1381,0,9,1.01645,0,17,17,0,0,ResNet50,16,8,23,1755544,0.066
Job19,5397000,5405169,4210477,4202308,1.00214,0.66767,1.00214,0.66767,0.99806,1,1,1,1,1,14.7354,0,1,1.00194,0,0,0,0,0,GNMT,1,64,77,4201472,1
Job20,5593000,5593000,1833000,1833000,1.00002,0.601466,1.00002,0.601466,1,1,1,1,1,1,13.7747,0,1,1,0,0,0,0,0,BERTLARGE,1,128,24,1832960,1
Job21,6143000,6149150,2754739,2748589,1.2724,0.814314,0.861743,0.814314,0.77697,0.967432,0.934864,10,1.72448,3.02132,15.2224,0,10,1.00224,0,1,1,0,0,BERTLARGE,4,32,30,2100000,0.264
Job22,6256000,6265805,6668922,6627920,1.19717,0.947711,0.80774,0.947711,0.826606,0.980742,0.961483,11,1.68968,3.16893,15.5599,0,11,1.00619,1,13,13,0,0,VGG19,4,8,88,5306112,0.258
Job23,6362000,6369810,2800164,2792354,1.00295,0.641064,1.00295,0.641064,0.997211,1,1,1,1,1,15.4921,0,1,1.0028,0,0,0,0,0,ResNet50,1,128,51,2791936,1
Job24,6509000,6511258,1519191,1297330,1.12846,0.651648,0.747196,0.651648,0.867827,0.448083,0.0390857,4,1.07817,3.84366,15.9721,0,4,1.17101,1,8,8,0,0,GNMT,4,16,16,1272960,0.259
Job25,6600000,6600000,4598443,4502865,1.095,1.08418,0.480622,1.08418,0.881857,0.809495,0.48198,10,2.22331,5.40162,15.1938,0,10,1.02123,0,23,23,0,0,ResNeXt,8,4,60,3148544,0.13
Job26,6785000,6792650,1153275,1145625,1.0067,0.542003,1.0067,0.542003,0.993367,1,1,1,1,1,16.5296,0,1,1.00668,0,0,0,0,0,BERTLARGE,1,128,9,1145600,1
Job27,7111000,7125816,4546608,4531792,1.00357,0.793275,1.00357,0.793275,0.996741,1,1,1,1,1,15.2091,0,1,1.00327,0,0,0,0,0,VGG19,1,32,79,4530432,1
Job28,7163000,7184792,3402010,3380218,1.0066,0.770052,1.0066,0.770052,0.993594,1,1,1,1,1,15.4771,0,1,1.00645,0,0,0,0,0,ResNet50,1,128,63,3379712,1
Job29,7375000,7381020,6419273,6413253,1.00162,0.782596,1.00162,0.782596,0.999062,1,1,1,1,1,16.1278,0,1,1.00094,0,0,0,0,0,ResNeXt,1,32,98,6408864,1
