Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job40,351656000,351676000,189931470,189911470,0.661295,0.666075,0.584886,0.666183,1.51231,1,1,0,10.2605,0,GPT2_SMALL,4,1941,189911470
Job41,365624000,365644000,93016203,92996203,0.636827,0.647725,0.553498,0.648046,1.57072,1,1,0,10.8462,0,BERTLARGE,4,1799,92996203
Job42,368092000,368112000,149821345,149801345,0.627215,0.639786,0.557718,0.640006,1.59467,1,1,0,10.7621,0,ResNeXt,4,1834,149801345
Job43,396126000,396126000,48253654,48253654,1,0.643952,1,0.64457,1,1,1,0,11.6142,0,BERTLARGE,1,1689,48253654
Job44,397046000,397046000,554698,554698,1,0.692869,1,0.74398,1,1,1,0,11.8095,0,ResNet50,1,948,554698
Job45,397048000,397048000,449050,449050,1,0.690143,1,0.742433,1,1,1,0,12,0,GPT2_SMALL,1,836,449050
Job46,397938000,397938000,584510,584510,1,0.686682,1,0.729854,1,1,1,0,11.9829,0,ResNeXt,1,977,584510
Job47,397948000,397948000,748050,748050,1,0.724652,1,0.865878,1,1,1,0,11.768,0,VGG19,1,1072,748050
Job48,399449000,399449000,190270,190270,1,0.732887,1,0.90922,1,1,1,0,11.8949,0,ResNeXt,1,241,190270
Job49,399469000,399469000,194266,194266,1,0.762371,1,1.06205,1,1,1,0,11.8765,0,BERTLARGE,1,254,194266
Job50,409806000,409806000,22112830,22112830,1,0.655802,1,0.656695,1,1,1,0,12.1549,0,GPT2_SMALL,1,1422,22112830
Job51,409827000,409827000,22176230,22176230,1,0.655612,1,0.656501,1,1,1,0,12.1554,0,GPT2_SMALL,1,1423,22176230
Job52,428472000,458640203,170205907,140037704,0.851197,0.84352,0.724942,0.84398,1.17509,1,1,0,10.0627,0,ResNet50,4,1830,140037704
Job53,438136000,517913345,261934986,182157641,1.11859,1.10651,0.893101,1.10689,0.894073,1,1,0,9.66206,0,ResNeXt,4,1897,182157641
Job54,439115000,439115000,612203,612203,1,0.614057,1,0.738829,1,1,1,0,14.0949,0,VGG19,1,991,612203
Job55,439116000,439116000,525095,525095,1,0.633362,1,0.794765,1,1,1,0,14.1125,0,VGG19,1,913,525095
Job56,439582000,537034566,288421681,190969115,1.17994,1.17599,0.941006,1.17637,0.847578,1,1,0,9.63147,0,ResNeXt,4,1948,190969115
Job57,440805000,440805000,596648,596648,1,0.583,1,0.697799,1,1,1,0,14.9148,0,VGG19,1,983,596648
Job58,440805000,440805000,545833,545833,1,0.61215,1,0.789157,1,1,1,0,15,0,GNMT,1,942,545833
Job59,441599000,441599000,636714,636714,1,0.521169,1,0.54148,1,1,1,0,14.7605,0,GPT2_SMALL,1,1005,636714
Job60,441617000,441617000,484190,484190,1,0.527423,1,0.558028,1,1,1,0,15,0,ResNeXt,1,866,484190
Job61,442462000,442462000,347594,347594,1,0.70604,1,1.18911,1,1,1,0,14.5328,0,GNMT,1,686,347594
Job62,442490000,442490000,185203,185203,1,0.587189,1,0.711209,1,1,1,0,15,0,ResNet50,1,221,185203
Job63,445554000,445554000,5129638,5129638,0.959893,0.520571,0.925854,0.531355,1.04348,1,1,0,13,0,GNMT,2,1200,5129638
Job64,450983000,450983000,136590,136590,1,0.633407,1,0.826349,1,1,1,0,13,0,ResNeXt,1,97,136590
Job65,460482000,460482000,272798,272798,1,0.615759,1,0.686801,1,1,1,0,12,0,GPT2_SMALL,1,527,272798
Job66,461297000,461297000,248032,248032,1,0.652493,1,0.804704,1,1,1,0,12,0,BERTLARGE,1,431,248032
Job67,469774000,469774000,222830,222830,1,0.688931,1,0.815948,1,1,1,0,11,0,ResNeXt,1,333,222830
Job68,484123000,484123000,526132,526132,1,0.701784,1,0.905034,1,1,1,0,11.9981,0,VGG19,1,915,526132
Job69,484124000,484124000,614277,614277,1,0.689986,1,0.850908,1,1,1,0,11.8549,0,VGG19,1,992,614277
Job70,485979000,485979000,697578,697578,1,0.632891,1,0.660346,1,1,1,0,11.9,0,GPT2_SMALL,1,1045,697578
Job71,485985000,485985000,627838,627838,1,0.633159,1,0.663838,1,1,1,0,12,0,GPT2_SMALL,1,1000,627838
Job72,487832000,487832000,1108288,1108288,1,0.63975,1,0.667453,1,1,1,0,11.4523,0,BERTLARGE,1,1106,1108288
Job73,487832000,487832000,501244,501244,1,0.706682,1,0.926642,1,1,1,0,12,0,VGG19,1,888,501244
Job74,499454000,499454000,19048074,19048074,1,0.634199,1,0.635169,1,1,1,0,10.9691,0,GPT2_SMALL,1,1361,19048074
Job75,521591000,521591000,217550,217550,1,0.757442,1,0.918449,1,1,1,0,10,0,ResNeXt,1,312,217550
Job76,552756000,552756000,23987220,23987220,1,0.886595,1,0.892147,1,1,1,0,9.09155,0,VGG19,1,1498,23987220
Job77,554478000,554478000,263310,263310,1,0.908185,1,1.09905,1,1,1,0,9,0,ResNeXt,1,493,263310
Job78,559930000,559930000,23584207,23584207,1,0.869336,1,0.871102,1,1,1,0,9.50092,0,ResNet50,1,1462,23584207
Job79,569878000,569898000,777095,757095,1.02642,0.89678,1.02642,1.16587,0.974263,1,1,0,10.7149,0,GNMT,1,1073,757095
Job80,569878000,569878000,555562,555562,1,0.839526,1,0.901987,1,1,1,0,11,0,GPT2_SMALL,1,950,555562
Job81,571052000,571052000,23902090,23902090,1,0.837853,1,0.839471,1,1,1,0,9.75099,0,ResNet50,1,1491,23902090
Job82,571334000,571354000,703722,683722,1.02925,0.8466,1.02925,0.926765,0.97158,1,1,0,11.7865,0,BERTLARGE,1,1039,683722
Job83,571340000,571354000,553449,539449,1.02595,0.837847,1.02595,0.913944,0.974704,1,1,0,12,0,ResNet50,1,933,539449
Job84,572455000,572475000,279156,259156,1.07717,0.918348,1.07717,1.20287,0.928355,1,1,0,11.7445,0,BERTLARGE,1,479,259156
Job85,572455000,572475000,207842,187842,1.10647,0.930583,1.10647,1.17081,0.903773,1,1,0,12,0,GPT2_SMALL,1,236,187842
Job86,574098000,574118000,338654,318654,1.06276,0.986255,1.06276,2.36204,0.940943,1,1,0,11,0,GNMT,1,623,318654
Job87,580807000,580827000,253441072,253421072,1.00008,0.928218,1.00008,0.928898,0.999921,1,1,0,8.75755,0,GNMT,2,1977,253421072
Job88,587485000,587505000,254423210,254403210,1.00008,0.932643,1.00008,0.933327,0.999921,1,1,0,8.65809,0,GNMT,2,1978,254403210
Job89,595709000,595709000,257408432,257408432,1,0.940167,1,0.940407,1,1,1,0,8.45929,0,ResNet50,2,1979,257408432
Job90,622457000,622457000,406921,406921,1,0.921871,1,1.68562,1,1,1,0,10,0,GNMT,1,791,406921
Job91,623877000,623897000,567954,547954,1.0365,0.873948,1.0365,0.94025,0.964786,1,1,0,10.8713,0,GPT2_SMALL,1,944,547954
Job92,623877000,623877000,494875,494875,1,0.843754,1,0.931064,1,1,1,0,11,0,ResNet50,1,880,494875
Job93,625627000,625647000,738948,718948,1.02782,0.87237,1.02782,0.953289,0.972934,1,1,0,10.7518,0,BERTLARGE,1,1056,718948
Job94,625627000,625627000,555562,555562,1,0.839526,1,0.901987,1,1,1,0,11,0,GPT2_SMALL,1,949,555562
Job95,626440000,626440000,193414,193414,1,0.871071,1,1.15788,1,1,1,0,10.9638,0,ResNet50,1,252,193414
Job96,626447000,626467000,203230,183230,1.10915,0.965669,1.10915,1.26935,0.901589,1,1,0,10.9173,0,ResNeXt,1,212,183230
Job97,627202000,627222000,578279,558279,1.03582,0.909742,1.03582,1.23753,0.965415,1,1,0,10.7625,0,VGG19,1,955,558279
